date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:21	13709/13709	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:20%20GMT	https://listenpony.com/	./listenpony.com/index.html	(from )
20:52:23	18266/18266	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:21%20GMT	https://listenpony.com/events/	./listenpony.com/events/index.html	(from https://listenpony.com/)
20:52:23	22074/22074	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:22%20GMT	https://listenpony.com/media/	./listenpony.com/media/index.html	(from https://listenpony.com/)
20:52:24	22925/22925	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:22%20GMT	https://listenpony.com/record-label/	./listenpony.com/record-label/index.html	(from https://listenpony.com/)
20:52:24	23820/23820	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:22%20GMT	https://listenpony.com/commissions/	./listenpony.com/commissions/index.html	(from https://listenpony.com/)
20:52:25	23600/23600	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:23%20GMT	https://listenpony.com/about/	./listenpony.com/about/index.html	(from https://listenpony.com/)
20:52:26	17376/17376	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:24%20GMT	https://listenpony.com/events/archive/2021/	./listenpony.com/events/archive/2021/index.html	(from https://listenpony.com/events/)
20:52:27	18316/18316	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:25%20GMT	https://listenpony.com/events/archive/2018/	./listenpony.com/events/archive/2018/index.html	(from https://listenpony.com/events/)
20:52:27	19200/19200	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:25%20GMT	https://listenpony.com/events/archive/2019/	./listenpony.com/events/archive/2019/index.html	(from https://listenpony.com/events/)
20:52:27	18334/18334	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:26%20GMT	https://listenpony.com/events/archive/2017/	./listenpony.com/events/archive/2017/index.html	(from https://listenpony.com/events/)
20:52:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Jun%202024%2019:52:27%20GMT	https://listenpony.com/events/listenpony-22-10th-anniversary-concert	./listenpony.com/events/listenpony-22-10th-anniversary-concert	(from https://listenpony.com/commissions/)
20:52:28	18167/18167	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:28%20GMT	https://listenpony.com/events/archive/2014/	./listenpony.com/events/archive/2014/index.html	(from https://listenpony.com/events/)
20:52:28	18269/18269	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:28%20GMT	https://listenpony.com/events/archive/2016/	./listenpony.com/events/archive/2016/index.html	(from https://listenpony.com/events/)
20:52:28	19209/19209	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:28%20GMT	https://listenpony.com/events/archive/2015/	./listenpony.com/events/archive/2015/index.html	(from https://listenpony.com/events/)
20:52:28	18888/18888	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:28%20GMT	https://listenpony.com/events/archive/2013/	./listenpony.com/events/archive/2013/index.html	(from https://listenpony.com/events/)
20:52:30	20255/20255	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:29%20GMT	https://listenpony.com/commissions/william-marsey/daybed-melody	./listenpony.com/commissions/william-marsey/daybed-melody.html	(from https://listenpony.com/commissions/)
20:52:30	18069/18069	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:30%20GMT	https://listenpony.com/events/archive/2012/	./listenpony.com/events/archive/2012/index.html	(from https://listenpony.com/events/)
20:52:31	33937/33937	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:31%20GMT	https://listenpony.com/events/listenpony-22-10th-anniversary-concert/	./listenpony.com/events/listenpony-22-10th-anniversary-concert/index.html	(from https://listenpony.com/events/)
20:52:32	21150/21150	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:31%20GMT	https://listenpony.com/commissions/blasio-kavuma/signification-ii	./listenpony.com/commissions/blasio-kavuma/signification-ii.html	(from https://listenpony.com/commissions/)
20:52:32	33786/33786	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:31%20GMT	https://listenpony.com/events/listenpony-21-james-larter-explore-ensemble-sophie-jamieson/	./listenpony.com/events/listenpony-21-james-larter-explore-ensemble-sophie-jamieson/index.html	(from https://listenpony.com/events/)
20:52:32	19986/19986	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:32%20GMT	https://listenpony.com/record-label/listenpony-sessions-george-xiaoyuan-fu/	./listenpony.com/record-label/listenpony-sessions-george-xiaoyuan-fu/index.html	(from https://listenpony.com/record-label/)
20:52:32	20988/20988	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:32%20GMT	https://listenpony.com/record-label/live-listenpony-tabea-debus/	./listenpony.com/record-label/live-listenpony-tabea-debus/index.html	(from https://listenpony.com/record-label/)
20:52:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Jun%202024%2019:52:33%20GMT	https://listenpony.com/events/listenpony-21-james-larter-explore-ensemble-sophie-jamieson	./listenpony.com/events/listenpony-21-james-larter-explore-ensemble-sophie-jamieson	(from https://listenpony.com/commissions/)
20:52:34	20183/20183	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:34%20GMT	https://listenpony.com/record-label/live-listenpony-duo-bayanello/	./listenpony.com/record-label/live-listenpony-duo-bayanello/index.html	(from https://listenpony.com/record-label/)
20:52:34	25130/25130	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:34%20GMT	https://listenpony.com/record-label/live-listenpony-nas-duo/	./listenpony.com/record-label/live-listenpony-nas-duo/index.html	(from https://listenpony.com/record-label/)
20:52:34	19635/19635	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:34%20GMT	https://listenpony.com/record-label/live-listenpony-hart/	./listenpony.com/record-label/live-listenpony-hart/index.html	(from https://listenpony.com/record-label/)
20:52:34	19497/19497	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:34%20GMT	https://listenpony.com/record-label/live-listenpony-laefer-quartet/	./listenpony.com/record-label/live-listenpony-laefer-quartet/index.html	(from https://listenpony.com/record-label/)
20:52:36	22804/22804	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:35%20GMT	https://listenpony.com/commissions/sean-clancy/there-was-a-telephone-sean-clancy	./listenpony.com/commissions/sean-clancy/there-was-a-telephone-sean-clancy.html	(from https://listenpony.com/commissions/)
20:52:36	24029/24029	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:36%20GMT	https://listenpony.com/record-label/live-listenpony-mainly-two/	./listenpony.com/record-label/live-listenpony-mainly-two/index.html	(from https://listenpony.com/record-label/)
20:52:36	30457/30457	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:36%20GMT	https://listenpony.com/commissions/2017-2016/	./listenpony.com/commissions/2017-2016/index.html	(from https://listenpony.com/commissions/)
20:52:36	32414/32414	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:36%20GMT	https://listenpony.com/commissions/2019-2018/	./listenpony.com/commissions/2019-2018/index.html	(from https://listenpony.com/commissions/)
20:52:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Jun%202024%2019:52:37%20GMT	https://listenpony.com/events/listenpony-20-exaudi-samuele-telari-maya-youssef	./listenpony.com/events/listenpony-20-exaudi-samuele-telari-maya-youssef	(from https://listenpony.com/commissions/)
20:52:38	4717/4717	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:38%20GMT	https://listenpony.com/cdn-cgi/l/email-protection	./listenpony.com/cdn-cgi/l/email-protection.html	(from https://listenpony.com/about/)
20:52:39	26341/26341	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2019:52:38%20GMT	https://listenpony.com/commissions/2013-2012/	./listenpony.com/commissions/2013-2012/index.html	(from https://listenpony.com/commissions/)
